Probe Set ID	LL0322071101	LL0322071102	LL0322071103	LL0322071104	LL0322071105	LL0322071106	LL0322072101	LL0322072102	LL0322072103	LL0322072104	LL0322072105	LL0322072106	LL0322075101	LL0322075102	LL0322075103	LL0322075104	LL0322075105	LL0322075106	LL0322076101	LL0322076102	LL0322076103	LL0322076105	LL0322076106
1387193_a_at	7.5510	7.2870	8.4940	8.3560	6.8510	7.9710	9.8640	10.0730	10.1860	9.2700	10.1540	9.8720	6.8100	6.5240	6.6680	5.9950	6.4730	6.4560	10.5720	10.5950	7.9800	8.4410	9.6540
1387655_at	10.2850	10.5100	10.7970	10.4610	10.2970	9.9360	9.6300	9.4290	9.6230	9.5550	9.6960	9.3400	11.0240	10.5540	10.6650	9.7140	10.8680	10.6520	8.9550	9.7230	9.1100	9.5870	8.9670
1387659_at	10.3860	10.0510	10.4670	10.2840	10.2910	10.1970	11.5380	11.4800	11.4910	11.5830	11.5610	11.4470	10.6760	10.7460	10.3710	11.0140	10.5530	10.6830	11.3970	11.7390	11.6680	11.5780	11.2960
1387816_at	11.4780	11.5490	11.9910	11.8830	11.4980	11.3110	10.2760	10.5770	10.4680	10.3780	10.5910	10.3510	11.3210	11.0480	10.9930	10.6590	11.1120	11.0520	9.3210	10.6370	10.2280	10.4590	9.3960
1387839_at	7.1810	7.8800	7.5890	7.0130	7.4330	9.3710	9.8970	9.5320	9.9650	9.9970	10.1910	10.0660	9.4930	7.0770	7.0140	7.2260	7.1360	6.9600	8.9770	10	9.9330	9.6040	8.8720
1387902_a_at	9.9960	10.0480	10.4680	10.6680	10.7220	10.7840	9.9970	8.8180	9.4340	10.0360	9.4060	10.1010	11.0530	10.5010	10.9980	9.8300	9.9700	11.1030	9.4780	9.1830	8.9990	9.0580	8.8020
1387995_a_at	12.0330	11.8530	11.6860	12.4140	11.5870	12.0380	10.4600	10.6250	10.8190	10.7260	10.6130	10.8720	11.4150	11.5240	12.5740	11.7700	11.9650	11.3940	10.4400	10.6750	10.1730	10.2440	10.1350
1388166_at	8.2680	8.4550	8.1480	8.4500	8.4420	8.2230	9.6790	9.9780	9.1390	10.2930	10.5000	9.3120	8.4220	8.5340	8.4730	9.1770	8.4710	8.3320	10.7310	12.0720	11.2040	11.2130	10.8580
1388202_at	11.4330	11.3210	11.7050	11.1910	11.0260	11.1070	8.4150	8.1580	8.0890	8.3150	8.1520	8.1980	10.9420	9.5530	10.7450	11.1200	11.1800	10.9470	8.1930	8.3230	8.2680	8.2310	8.2180
1388203_x_at	10.8250	10.9250	11.2000	11.0230	10.7370	10.9590	9.5910	9.3840	9.4190	9.4120	9.5250	9.6560	10.7870	9.8790	10.6840	10.8610	10.7740	10.6960	8.9840	9.2610	9.4300	9.0800	9.2020
1388395_at	12.8710	11.9660	12.2420	12.1480	11.6220	11.2890	10.4140	10.3460	9.6910	10.1730	10.6040	9.7440	12.5380	11.5720	10.8500	10.9250	11.7970	11	10.2000	11.0540	11.1890	10.6320	9.9430
1389253_at	7.6870	6.7340	8.3250	7.9520	7.4650	7.0320	5.7340	5.7690	5.9540	5.5710	5.5660	5.7070	8.4320	9.3790	8.8280	9.8250	7.8380	9.6010	5.9320	5.3250	5.3530	5.4260	5.7030
1389734_x_at	9.3070	10.0920	9.8530	10.3270	10.1840	10.8110	11.4120	11.2730	11.3470	11.2730	11.4400	11.3100	10.9740	10.4980	10.4110	9.5220	9.4380	9.3380	11.3630	11.4230	11.1290	11.2380	11.2950
1389845_at	10.1340	9.2270	9.7650	10.2030	10.3750	10.3460	11.3050	11.3800	11.2070	11.0350	11.4150	11.1950	10.3120	10.4700	10.4210	10.6770	9.7800	9.9150	11.1220	11.1670	10.8430	10.7880	11.0700
1389918_at	7.2960	7.1740	7.8160	7.4650	7.1870	7.4890	8.6780	9.0470	8.5630	8.5190	9.0780	8.5720	7.8950	8.3680	7.6940	8.6580	7.8790	8.4690	9.3280	9.5140	8.6210	9.1220	9.0260
1389974_at	9.5670	8.8480	9.7220	8.8520	9.4180	9.4450	7.8290	8.0910	7.9110	7.7680	8.0420	7.5600	9.3270	9.3420	9.3460	9.7990	9.4630	9.6890	8.1530	8.0670	7.6280	7.9500	7.8060
1389990_at	12.1960	11.9450	8.6560	9.1210	12.0110	8.8230	13.0150	12.6990	13.0340	12.9600	13.0070	12.8550	12.7880	8.9110	9.1610	9.2200	8.8530	8.7260	13.4560	13.3790	13.3870	13.4470	13.4510
1391418_at	7.3310	7.6150	6.9930	6.8760	7.1990	7.2940	8.3890	8.7530	8.3030	8.3960	8.3510	8.4500	7.0690	7.0030	6.9810	6.8840	6.9250	7.0860	8.2680	8.4080	8.1310	8.2280	8.4950
1391476_at	9.1620	9.1140	9.0960	9.1790	8.8050	9.1330	7.7660	7.8940	7.9440	7.5460	7.6570	7.9700	8.9950	8.6860	8.7280	8.2940	8.7970	9.0050	7.4830	6.9830	7.3850	7.1270	7.6430
1391512_at	7.8340	7.2270	7.1090	7.5330	7.7170	6.6910	5.2060	4.9880	5.2360	5.1850	5.2440	5.4480	6.8280	6.7420	6.8260	7.0620	6.4390	7.7110	5.1190	5.0620	5.3210	4.9390	5.2150
1391544_at	7.3450	6.6730	8.0890	6.8710	6.2610	6.8280	8.1620	7.7050	7.0450	8.8100	10.6600	7.9840	5.5970	5.6330	5.7270	5.5670	5.8520	5.7390	5.8370	8.2640	5.7360	5.8900	5.7820
1392627_x_at	11.8990	11.7960	9.5870	9.8510	11.7800	9.6360	12.6740	12.4210	12.7650	12.4470	12.6800	12.4930	12.5750	9.3330	9.6670	9.8190	9.5270	9.5690	13.1790	13.0720	12.9380	13.1020	13.1070
1392767_at	7.7890	7.8780	8.0180	7.6760	7.8540	7.7410	6.6180	6.7990	7.0310	6.6620	6.4130	6.2980	8.1140	8.0980	8.1110	8.0600	7.6020	7.9540	6.8000	6.2750	6.5620	6.2130	6.4830
1392914_at	7.6120	7.5960	7.5990	7.6450	7.7800	7.7610	9.4520	9.2220	9.2330	9.1370	9.3440	9.1210	7.0380	7.4310	7.3610	7.3160	7.6710	7.8010	8.9250	9.3300	8.8230	9.1760	8.8990
1393006_at	7.4970	7.2130	7.7870	7.7190	7.6350	7.2860	5.9150	5.8420	6.0880	5.6580	6.1220	5.9810	8.2120	8.2710	8.3080	8.5830	7.9630	8.3520	6.4690	6.2370	6.2650	6.2010	6.0090
1393108_at	11.0420	11.1490	11.3660	11.4370	11.0350	11.1470	7.7960	7.4470	7.6390	7.5880	7.4740	7.5160	10.9640	10.5670	10.7420	10.2970	10.4880	10.5610	7.5730	7.6660	7.8400	7.8820	7.5750
1393147_at	9.1850	8.7670	9.0110	9.3470	8.6530	9.1610	7.8810	7.8290	7.9830	7.6330	7.7330	7.7090	9.0790	8.7270	8.8080	8.0790	8.4870	8.6370	8.1370	7.4790	7.7520	7.6980	7.8820
1393221_at	12.1830	11.1630	11.7440	12.2590	11.1780	11.2830	8.5570	8.3910	8.1890	8.4270	8.5230	8.1530	11.2560	8.3120	10.8700	9.6650	8.2350	10.6840	8.0650	8.6220	8.3230	7.9760	7.9990
1393347_at	9.1980	9.5250	9.2680	9.5640	9.3010	9.4690	8.1400	8.1500	8.2860	8.3040	7.9820	8.1800	9.4310	9.1280	9.4300	8.7970	8.9210	9.2610	8.1740	8.1150	8.1100	8.0290	8.1670
1393412_at	7.6540	7.4810	8.2460	8.0540	7.9840	7.7830	6.8060	6.9460	6.7630	6.7150	7.0620	6.7130	8.1850	8.2720	8.3450	8.5310	8.2530	8.2480	6.8860	7.0470	7.1170	7.0350	7.1530
1393831_at	10.0730	10.0470	10.2350	9.7470	9.9650	10.0480	9.3190	9	9.6510	8.8690	9.2910	9.1920	10.6200	10.5630	10.7940	9.7040	10.7010	10.5050	9.4850	9.5900	8.6770	8.7630	9.5320
1394160_at	6.9340	6.3100	7.8200	6.9040	7.1750	7.2370	5.7860	5.9160	5.8310	5.8600	5.6960	5.7470	6.6870	7.1780	6.9530	6.8060	6.1080	6.7340	5.8640	5.7660	5.9770	5.7430	5.6970
1394490_at	9.4210	9.1910	9.5780	9.3990	9.3260	9.3000	7.2810	7.7540	7.3460	7.4780	7.5240	7.1890	9.4080	8.8460	8.8040	8.5580	8.8710	8.9530	7.3200	7.4740	7.3540	6.9590	6.6690
1394993_at	7.4880	7.4810	7.4750	7.0820	7.4590	7.3000	8.5470	8.5340	8.7780	8.5810	8.9500	8.5120	7.5370	7.4800	7.3050	7.5050	7.0770	7.5050	8.5480	8.3620	7.9820	8.2660	8.3300
1395327_at	9.0650	9.0970	9.5220	9.3010	9.1620	9.1120	7.7550	7.9510	7.4250	7.0850	8.1520	7.5520	9.7000	9.7380	9.5480	10.0300	9.4690	9.5990	7.7530	8.0580	6.9350	7.4880	7.4990
1397263_at	6.8630	7.3950	7.0710	7.3320	7.3720	7.1550	6.3030	6.3400	6.6210	6.6500	6.0500	6.2950	6.7850	8.7420	8.5700	7.5410	7.8150	8.6680	6.3040	6.2580	6.4740	6.0950	6.4290
